# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
cheng xu 	程序	c=0 d=0.00804596 t=8422
cheng xu dai ma 	程序代碼	c=1 d=2.15192e-16 t=8422
cheng xu she ji 	程序設計	c=1 d=6.62839e-16 t=8422
cheng xu shi xian 	程序實現	c=1 d=0.0808629 t=8422
cheng yuan 	成員	c=2 d=1.84033 t=8422
cheng zai 	承載	c=1 d=1.43826e-11 t=8422
chi 	吃	c=1 d=7.39409e-08 t=8422
chi 	持	c=1 d=6.36415e-08 t=8422
chi 	池	c=2 d=0.675812 t=8422
chi lao ben 	吃老本	c=1 d=0.0623495 t=8422
chi su 	齒速	c=1 d=8.74609e-13 t=8422
chong 	重	c=1 d=0.324652 t=8422
chong dian 	充電	c=4 d=0.00263238 t=8422
chong dian gong lv 	充電功率	c=1 d=0.000863083 t=8422
chong fu 	重複	c=1 d=0.362402 t=8422
chong fu wen ti 	重複問題	c=1 d=3.29044e-12 t=8422
chong man tiao zhan 	充滿挑戰	c=1 d=4.59031e-17 t=8422
chong qing 	重慶	c=1 d=1.54654e-12 t=8422
chong shi 	充實	c=1 d=4.63644e-17 t=8422
chu 	出	c=2 d=0.00634607 t=8422
chu 	除	c=3 d=0.0201436 t=8422
chu de 	出的	c=1 d=1.63398e-12 t=8422
chu fa 	出發	c=1 d=5.88906e-07 t=8422
chu gao 	初稿	c=2 d=7.81827e-09 t=8422
chu guo 	出國	c=7 d=2.51968 t=8422
chu guo gan xiang 	出國感想	c=1 d=0.421052 t=8422
chu guo jiao liu 	出國交流	c=1 d=0.433874 t=8422
chu guo xue xi 	出國學習	c=1 d=0.398519 t=8422
chu kong 	觸控	c=1 d=0.771052 t=8422
chu li 	處理	c=9 d=0.299692 t=8422
chu li hou 	處理後	c=1 d=7.85131e-08 t=8422
chu li liu cheng 	處理流程	c=1 d=9.2136e-08 t=8422
chu li su du 	處理速度	c=2 d=0.0753976 t=8422
chu pian 	出片	c=2 d=1.90786e-05 t=8422
chu shi hua 	初始化	c=1 d=0.0148464 t=8422
chu xian 	出現	c=2 d=0.0125254 t=8422
chu xin 	初心	c=0 d=5.86367e-16 t=8422
